[# ERROR | 2020-11-15 | 16:03:20.427 | PID=14052 | ThreadId=4856 | WinUtils::CreateMemoryMappingFile:731 | Failed to create memory mapping file [Code=5: Access is denied.] #]
[# ERROR | 2020-11-15 | 16:03:20.452 | PID=14052 | ThreadId=4856 | WinUtils::CreateMemoryMappingFile:731 | Failed to create memory mapping file [Code=5: Access is denied.] #]
[# ERROR | 2023-01-21 | 03:43:04.138 | PID=19152 | ThreadId=20832 | WinUtils::CreateMemoryMappingFile:731 | Failed to create memory mapping file [Code=5: Access is denied.] #]
[# ERROR | 2023-01-21 | 03:43:04.158 | PID=19152 | ThreadId=20832 | WinUtils::CreateMemoryMappingFile:731 | Failed to create memory mapping file [Code=5: Access is denied.] #]
[# ERROR | 2023-01-28 | 21:46:12.521 | PID=10992 | ThreadId=6048 | WinUtils::CreateMemoryMappingFile:731 | Failed to create memory mapping file [Code=5: Access is denied.] #]
[# ERROR | 2023-01-28 | 21:46:12.613 | PID=10992 | ThreadId=6048 | WinUtils::CreateMemoryMappingFile:731 | Failed to create memory mapping file [Code=5: Access is denied.] #]
[# ERROR | 2023-01-28 | 21:46:12.712 | PID=10992 | ThreadId=6048 | WinUtils::CreateMemoryMappingFile:731 | Failed to create memory mapping file [Code=5: Access is denied.] #]
[# ERROR | 2023-01-28 | 21:46:12.813 | PID=10992 | ThreadId=6048 | WinUtils::CreateMemoryMappingFile:731 | Failed to create memory mapping file [Code=5: Access is denied.] #]
[# ERROR | 2023-01-28 | 21:46:12.913 | PID=10992 | ThreadId=6048 | WinUtils::CreateMemoryMappingFile:731 | Failed to create memory mapping file [Code=5: Access is denied.] #]
[# ERROR | 2023-01-28 | 21:46:13.014 | PID=10992 | ThreadId=6048 | WinUtils::CreateMemoryMappingFile:731 | Failed to create memory mapping file [Code=5: Access is denied.] #]
[# ERROR | 2023-01-28 | 21:46:13.113 | PID=10992 | ThreadId=6048 | WinUtils::CreateMemoryMappingFile:731 | Failed to create memory mapping file [Code=5: Access is denied.] #]
